date,Revenue,Revenue Growth,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Dividends (Preffered),Net Income Common,EPS (Basic),EPS (Diluted),"Shares (Basic, Weighted)","Shares (Diluted, Weighted)",Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,"EPS (Basic, from Continuous Ops)","EPS (Basic, from Discontinued Ops)","EPS (Basic, Consolidated)","EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","Shares (Diluted, Average)","EPS (Diluted, Consolidated)"
2018-12-31,101127000000.0,0.0758,81421000000.0,19706000000.0,3269000000.0,4567000000.0,11987000000.0,69000000.0,-383000000.0,475000000.0,11604000000.0,1144000000.0,10460000000.0,7000000.0,10453000000.0,18.05,17.85,579200000.0,585500000.0,0.1949,0.1192,0.1147,0.1034,0.135,14170000000.0,12056000000.0,10460000000.0,-1000000.0,10460000000.0,18.0594,-0.0013,18.0594,17.8651,-0.0013,586200000.0,17.8651
2017-12-31,94005000000.0,0.0054,76542000000.0,17463000000.0,3179000000.0,4095000000.0,10344000000.0,70000000.0,-237000000.0,360000000.0,10107000000.0,1649000000.0,8458000000.0,6000000.0,8452000000.0,13.6,13.43,602500000.0,610000000.0,0.1858,0.1108,0.1075,0.0899,0.1231,12461000000.0,10414000000.0,8458000000.0,-3000000.0,8458000000.0,14.0382,0.0,14.0382,13.8656,0.0,610700000.0,13.8656
2016-12-31,93496000000.0,-0.0272,78967000000.0,14529000000.0,4626000000.0,3613000000.0,6527000000.0,59000000.0,-744000000.0,306000000.0,5783000000.0,749000000.0,5034000000.0,3000000.0,5031000000.0,7.7,7.61,635500000.0,642800000.0,0.1554,0.0704,0.0619,0.0538,0.0847,8475000000.0,6586000000.0,5034000000.0,7000000.0,5034000000.0,7.9213,0.01,7.9213,7.8314,0.01,643800000.0,7.8314
2015-12-31,96114000000.0,0.059000000000000004,82024000000.0,14090000000.0,3331000000.0,3525000000.0,7443000000.0,64000000.0,-288000000.0,275000000.0,7155000000.0,1979000000.0,5176000000.0,4000000.0,5172000000.0,7.52,7.44,686900000.0,695000000.0,0.1466,0.0781,0.0744,0.0538,0.0724,9340000000.0,7507000000.0,5176000000.0,-4000000.0,5176000000.0,7.5353,-0.01,7.5353,7.4475,-0.01,696100000.0,7.4475
2014-12-31,90762000000.0,0.0478,76683000000.0,14079000000.0,3047000000.0,3767000000.0,7473000000.0,69000000.0,-336000000.0,333000000.0,7137000000.0,1691000000.0,5446000000.0,6000000.0,5440000000.0,7.47,7.38,727600000.0,736700000.0,0.1551,0.0831,0.0786,0.0599,0.0733,9448000000.0,7542000000.0,5446000000.0,-23000000.0,5446000000.0,7.4849,-0.03,7.4849,7.3924,-0.03,738000000.0,7.3924
2013-12-31,86623000000.0,0.0603,73193000000.0,13430000000.0,3071000000.0,3956000000.0,6562000000.0,75000000.0,-330000000.0,386000000.0,6232000000.0,1646000000.0,4586000000.0,7000000.0,4578000000.0,6.03,5.96,758900000.0,767600000.0,0.155,0.0766,0.0719,0.0528,0.0692,8481000000.0,6637000000.0,4586000000.0,,4585000000.0,6.042999999999999,,6.0416,5.9745,,769500000.0,5.9732
2012-12-31,81698000000.0,0.1886,68556000000.0,13142000000.0,3298000000.0,3717000000.0,6290000000.0,109000000.0,-380000000.0,442000000.0,5910000000.0,2007000000.0,3903000000.0,9000000.0,3900000000.0,5.15,5.11,755700000.0,761500000.0,0.1609,0.0783,0.0723,0.0477,0.0722,8210000000.0,6399000000.0,3903000000.0,,3900000000.0,5.15,,5.1608,5.11,,763800000.0,5.1215
2011-12-31,68735000000.0,0.0689,55739000000.0,12996000000.0,3918000000.0,3408000000.0,5823000000.0,149000000.0,-430000000.0,477000000.0,5393000000.0,1382000000.0,4011000000.0,9000000.0,4009000000.0,5.39,5.34,744100000.0,750600000.0,0.1891,0.0869,0.0785,0.0583,0.035,7647000000.0,5972000000.0,4011000000.0,,4018000000.0,5.38,,5.3998,5.33,,753100000.0,5.3531
2010-12-31,64306000000.0,-0.0582,51683000000.0,12623000000.0,4121000000.0,3644000000.0,4971000000.0,160000000.0,-464000000.0,516000000.0,4507000000.0,1196000000.0,3311000000.0,,3298000000.0,4.49,4.45,735000000.0,741200000.0,0.1963,0.0798,0.0701,0.0513,0.0294,6877000000.0,5131000000.0,3311000000.0,,3307000000.0,4.5,,4.4993,4.46,,744300000.0,4.4617
2009-12-31,68281000000.0,,56365000000.0,11916000000.0,6506000000.0,3364000000.0,2096000000.0,175000000.0,-365000000.0,339000000.0,1731000000.0,396000000.0,1335000000.0,,1312000000.0,1.84,1.84,709600000.0,713400000.0,0.1745,0.0333,0.0254,0.0192,0.0651,3949000000.0,2271000000.0,1335000000.0,,1312000000.0,1.89,,1.8489,1.87,,713400000.0,1.8391
